,Date,Close,High,Low,Open,Volume
531,10/31/2022,8070.710449,8116.566759,8047.782295,8116.566759,138922800
532,11/1/2022,8070.710449,8254.135687,8001.925985,8254.135687,118118400
533,11/2/2022,8024.853027,8093.637482,8001.924876,8070.70933,68323600
534,11/3/2022,8070.710449,8093.638604,7978.99783,7978.99783,81856300
535,11/4/2022,8047.782715,8070.710871,7956.070091,8047.782715,84458300
536,11/7/2022,8116.566895,8116.566895,7956.069809,8001.926119,94794000
537,11/8/2022,8024.853027,8139.493785,8001.924876,8116.565633,42525500
538,11/9/2022,8139.494629,8139.494629,7956.069398,7956.069398,96599500
539,11/10/2022,8070.710449,8070.710449,8001.925985,8001.925985,89463000
540,11/11/2022,8116.566895,8185.35136,8093.638739,8162.423205,59597900
541,11/14/2022,8024.853027,8162.421936,8024.853027,8139.493785,49208200
542,11/15/2022,8070.710449,8116.566759,8024.85414,8047.782295,59092900
543,11/16/2022,7887.285156,7956.06962,7841.428847,7910.213311,143424800
544,11/17/2022,8001.925293,8093.637904,7887.284529,7910.212682,72679800
545,11/18/2022,8093.638184,8162.422644,8001.92557,8001.92557,83556900
546,11/21/2022,8001.925293,8162.422362,8001.925293,8139.494209,35901000
547,11/22/2022,8162.42334,8208.279651,8116.567029,8162.42334,84684200
548,11/23/2022,8139.494629,8231.207244,8139.494629,8162.422783,84642100
549,11/24/2022,8254.134766,8254.134766,8208.278461,8231.206613,53520800
550,11/25/2022,8231.208008,8254.136164,8162.42354,8254.136164,75048300
551,11/28/2022,8277.0625,8345.846953,8231.206198,8299.990651,96209700
552,11/29/2022,8231.208008,8322.920632,8185.351696,8231.208008,91562100
553,11/30/2022,8529.273438,8620.986055,8116.566658,8139.494813,644359600
554,12/1/2022,8254.134766,8575.128895,8254.134766,8506.344439,155775400
555,12/2/2022,8194.289063,8263.34206,8194.289063,8194.289063,130982100
556,12/5/2022,8079.201172,8194.289508,8079.201172,8102.218839,114656300
557,12/6/2022,7987.129395,8056.182386,7895.058739,8033.164722,180553800
558,12/7/2022,7779.971191,7895.059523,7779.971191,7826.006524,229308700
559,12/8/2022,7826.005859,7895.058852,7687.899874,7710.917538,172590100
560,12/9/2022,7895.060547,7918.078216,7779.972201,7826.007539,90851300
561,12/12/2022,8010.148926,8010.148926,7802.989902,7849.02524,102851800
562,12/13/2022,8010.148926,8010.148926,7872.04291,7941.095918,104580200
563,12/14/2022,7941.094727,8010.147724,7849.024063,7918.077061,118164300
564,12/15/2022,7826.005859,7918.076517,7826.005859,7895.058852,113255700
565,12/16/2022,7918.077148,7964.112481,7733.935819,7756.953486,181516700
566,12/19/2022,7964.113281,8010.148618,7918.077944,7964.113281,67482900
567,12/20/2022,7895.060547,7964.113555,7872.042878,7872.042878,41243700
568,12/21/2022,7987.129395,8010.147058,7895.058739,7918.076403,33617700
569,12/22/2022,7895.060547,7987.131224,7895.060547,7964.113555,59591500
570,12/23/2022,7826.005859,7895.058852,7826.005859,7849.023524,47393000
571,12/26/2022,7895.060547,7941.095885,7826.007539,7826.007539,20495900
572,12/27/2022,7918.077148,7964.112481,7895.059482,7918.077148,27193800
573,12/28/2022,7964.113281,7964.113281,7872.042607,7964.113281,40420200
574,12/29/2022,7895.060547,7918.078216,7826.007539,7849.025208,47020900
575,12/30/2022,7872.04248,7964.113153,7872.04248,7895.060149,44681400
576,1/2/2023,7872.04248,7918.077817,7826.007144,7895.060149,10653900
577,1/3/2023,7872.04248,7918.077817,7849.024812,7872.04248,27399100
578,1/4/2023,7687.900879,7895.059885,7687.900879,7849.02455,90918800
579,1/5/2023,7595.830078,7710.918413,7503.759411,7687.900746,128838500
580,1/6/2023,7641.865234,7664.882901,7457.723903,7457.723903,69286600
581,1/9/2023,7779.971191,7779.971191,7664.88286,7664.88286,86916900
582,1/10/2023,7526.776855,7756.953518,7503.759189,7733.935851,101759100
583,1/11/2023,7480.741699,7503.759366,7365.653365,7411.688699,96069100
584,1/12/2023,7526.776855,7618.84752,7480.741523,7503.759189,103804600
585,1/13/2023,7411.688477,7526.776807,7388.67081,7503.759141,119748200
586,1/16/2023,7503.759277,7549.79461,7411.688611,7411.688611,105710700
587,1/17/2023,7664.882813,7710.918145,7503.75915,7526.776816,88695900
588,1/18/2023,7641.865234,7664.882901,7526.776903,7549.794569,96814600
589,1/19/2023,7664.882813,7687.900479,7595.829814,7687.900479,66391800
590,1/20/2023,7641.865234,7664.882901,7595.829902,7618.847568,96859500
